Cement (component 1)(kg in a m^3 mixture),Age (day),Water  (component 4)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture)
425.0,7,151.4,106.3,18.6,803.7,936.0,0.0
375.0,7,126.6,93.8,23.4,992.6,852.1,0.0
475.0,7,181.1,118.8,8.9,781.5,852.1,0.0
469.0,7,137.8,117.2,32.2,840.5,852.1,0.0
425.0,7,153.5,106.3,16.5,887.1,852.1,0.0
388.6,7,157.9,97.1,12.1,925.7,852.1,0.0
531.3,7,141.8,0.0,28.2,893.7,852.1,0.0
425.0,7,153.5,106.3,16.5,887.1,852.1,0.0
318.8,7,155.7,212.5,14.3,880.4,852.1,0.0
401.8,7,147.4,94.7,11.4,852.1,946.8,0.0
362.6,7,164.9,189.0,11.6,755.8,944.7,0.0
323.7,7,183.8,282.8,10.3,659.9,942.7,0.0
379.5,7,153.9,151.2,15.9,605.0,1134.3,0.0
362.6,7,164.9,189.0,11.6,755.8,944.7,0.0
286.3,7,144.7,200.9,11.2,803.7,1004.6,0.0
362.6,7,164.9,189.0,11.6,755.8,944.7,0.0
439.0,7,186.0,177.0,11.1,707.9,884.9,0.0
389.9,7,145.9,189.0,22.0,755.8,944.7,0.0
362.6,7,164.9,189.0,11.6,755.8,944.7,0.0
337.9,7,174.9,189.0,9.5,755.8,944.7,0.0
374.0,28,170.1,189.2,10.1,756.7,926.1,0.0
313.3,28,175.5,262.2,8.6,611.8,1046.9,0.0
425.0,28,153.5,106.3,16.5,887.1,852.1,0.0
425.0,28,151.4,106.3,18.6,803.7,936.0,0.0
375.0,28,126.6,93.8,23.4,992.6,852.1,0.0
475.0,28,181.1,118.8,8.9,781.5,852.1,0.0
469.0,28,137.8,117.2,32.2,840.5,852.1,0.0
425.0,28,153.5,106.3,16.5,887.1,852.1,0.0
388.6,28,157.9,97.1,12.1,925.7,852.1,0.0
531.3,28,141.8,0.0,28.2,893.7,852.1,0.0
425.0,28,153.5,106.3,16.5,887.1,852.1,0.0
318.8,28,155.7,212.5,14.3,880.4,852.1,0.0
401.8,28,147.4,94.7,11.4,852.1,946.8,0.0
362.6,28,164.9,189.0,11.6,755.8,944.7,0.0
323.7,28,183.8,282.8,10.3,659.9,942.7,0.0
379.5,28,153.9,151.2,15.9,605.0,1134.3,0.0
362.6,28,164.9,189.0,11.6,755.8,944.7,0.0
286.3,28,144.7,200.9,11.2,803.7,1004.6,0.0
362.6,28,164.9,189.0,11.6,755.8,944.7,0.0
439.0,28,186.0,177.0,11.1,707.9,884.9,0.0
389.9,28,145.9,189.0,22.0,755.8,944.7,0.0
362.6,28,164.9,189.0,11.6,755.8,944.7,0.0
337.9,28,174.9,189.0,9.5,755.8,944.7,0.0
374.0,56,170.1,189.2,10.1,756.7,926.1,0.0
313.3,56,175.5,262.2,8.6,611.8,1046.9,0.0
425.0,56,153.5,106.3,16.5,887.1,852.1,0.0
425.0,56,151.4,106.3,18.6,803.7,936.0,0.0
375.0,56,126.6,93.8,23.4,992.6,852.1,0.0
475.0,56,181.1,118.8,8.9,781.5,852.1,0.0
469.0,56,137.8,117.2,32.2,840.5,852.1,0.0
425.0,56,153.5,106.3,16.5,887.1,852.1,0.0
388.6,56,157.9,97.1,12.1,925.7,852.1,0.0
531.3,56,141.8,0.0,28.2,893.7,852.1,0.0
425.0,56,153.5,106.3,16.5,887.1,852.1,0.0
318.8,56,155.7,212.5,14.3,880.4,852.1,0.0
401.8,56,147.4,94.7,11.4,852.1,946.8,0.0
362.6,56,164.9,189.0,11.6,755.8,944.7,0.0
323.7,56,183.8,282.8,10.3,659.9,942.7,0.0
379.5,56,153.9,151.2,15.9,605.0,1134.3,0.0
362.6,56,164.9,189.0,11.6,755.8,944.7,0.0
286.3,56,144.7,200.9,11.2,803.7,1004.6,0.0
362.6,56,164.9,189.0,11.6,755.8,944.7,0.0
439.0,56,186.0,177.0,11.1,707.9,884.9,0.0
389.9,56,145.9,189.0,22.0,755.8,944.7,0.0
362.6,56,164.9,189.0,11.6,755.8,944.7,0.0
337.9,56,174.9,189.0,9.5,755.8,944.7,0.0
374.0,91,170.1,189.2,10.1,756.7,926.1,0.0
313.3,91,175.5,262.2,8.6,611.8,1046.9,0.0
425.0,91,153.5,106.3,16.5,887.1,852.1,0.0
425.0,91,151.4,106.3,18.6,803.7,936.0,0.0
375.0,91,126.6,93.8,23.4,992.6,852.1,0.0
475.0,91,181.1,118.8,8.9,781.5,852.1,0.0
469.0,91,137.8,117.2,32.2,840.5,852.1,0.0
425.0,91,153.5,106.3,16.5,887.1,852.1,0.0
388.6,91,157.9,97.1,12.1,925.7,852.1,0.0
531.3,91,141.8,0.0,28.2,893.7,852.1,0.0
425.0,91,153.5,106.3,16.5,887.1,852.1,0.0
318.8,91,155.7,212.5,14.3,880.4,852.1,0.0
401.8,91,147.4,94.7,11.4,852.1,946.8,0.0
362.6,91,164.9,189.0,11.6,755.8,944.7,0.0
379.5,91,153.9,151.2,15.9,605.0,1134.3,0.0
362.6,91,164.9,189.0,11.6,755.8,944.7,0.0
286.3,91,144.7,200.9,11.2,803.7,1004.6,0.0
362.6,91,164.9,189.0,11.6,755.8,944.7,0.0
439.0,91,186.0,177.0,11.1,707.9,884.9,0.0
389.9,91,145.9,189.0,22.0,755.8,944.7,0.0
362.6,91,164.9,189.0,11.6,755.8,944.7,0.0
337.9,91,174.9,189.0,9.5,755.8,944.7,0.0
222.4,3,189.3,0.0,4.5,870.3,967.1,96.7
222.4,14,189.3,0.0,4.5,870.3,967.1,96.7
222.4,28,189.3,0.0,4.5,870.3,967.1,96.7
222.4,56,189.3,0.0,4.5,870.3,967.1,96.7
222.4,100,189.3,0.0,4.5,870.3,967.1,96.7
233.8,3,197.9,0.0,4.6,852.2,947.0,94.6
233.8,14,197.9,0.0,4.6,852.2,947.0,94.6
233.8,28,197.9,0.0,4.6,852.2,947.0,94.6
233.8,56,197.9,0.0,4.6,852.2,947.0,94.6
233.8,100,197.9,0.0,4.6,852.2,947.0,94.6
194.7,3,165.6,0.0,7.5,905.9,1006.4,100.5
194.7,14,165.6,0.0,7.5,905.9,1006.4,100.5
194.7,28,165.6,0.0,7.5,905.9,1006.4,100.5
194.7,56,165.6,0.0,7.5,905.9,1006.4,100.5
194.7,100,165.6,0.0,7.5,905.9,1006.4,100.5
190.7,3,162.1,0.0,7.8,804.0,1090.0,125.4
190.7,14,162.1,0.0,7.8,804.0,1090.0,125.4
190.7,28,162.1,0.0,7.8,804.0,1090.0,125.4
190.7,56,162.1,0.0,7.8,804.0,1090.0,125.4
190.7,100,162.1,0.0,7.8,804.0,1090.0,125.4
212.1,3,180.3,0.0,5.7,779.3,1057.6,121.6
212.1,14,180.3,0.0,5.7,779.3,1057.6,121.6
212.1,28,180.3,0.0,5.7,779.3,1057.6,121.6
212.1,56,180.3,0.0,5.7,779.3,1057.6,121.6
212.1,100,180.3,0.0,5.7,779.3,1057.6,121.6
230.0,3,195.5,0.0,4.6,758.6,1029.4,118.3
230.0,14,195.5,0.0,4.6,758.6,1029.4,118.3
230.0,28,195.5,0.0,4.6,758.6,1029.4,118.3
230.0,56,195.5,0.0,4.6,758.6,1029.4,118.3
230.0,100,195.5,0.0,4.6,758.6,1029.4,118.3
190.3,3,161.9,0.0,9.9,802.6,1088.1,125.2
190.3,14,161.9,0.0,9.9,802.6,1088.1,125.2
190.3,28,161.9,0.0,9.9,802.6,1088.1,125.2
190.3,56,161.9,0.0,9.9,802.6,1088.1,125.2
190.3,100,161.9,0.0,9.9,802.6,1088.1,125.2
166.1,3,176.5,0.0,4.5,780.1,1058.6,163.3
166.1,14,176.5,0.0,4.5,780.1,1058.6,163.3
166.1,28,176.5,0.0,4.5,780.1,1058.6,163.3
166.1,56,176.5,0.0,4.5,780.1,1058.6,163.3
166.1,100,176.5,0.0,4.5,780.1,1058.6,163.3
168.0,3,121.8,42.1,5.7,780.1,1058.7,163.8
168.0,14,121.8,42.1,5.7,780.1,1058.7,163.8
168.0,28,121.8,42.1,5.7,780.1,1058.7,163.8
168.0,56,121.8,42.1,5.7,780.1,1058.7,163.8
168.0,100,121.8,42.1,5.7,780.1,1058.7,163.8
213.7,3,181.7,98.1,6.9,785.4,1065.8,24.5
213.7,14,181.7,98.1,6.9,785.4,1065.8,24.5
213.7,28,181.7,98.1,6.9,785.4,1065.8,24.5
213.7,56,181.7,98.1,6.9,785.4,1065.8,24.5
213.7,100,181.7,98.1,6.9,785.4,1065.8,24.5
213.8,3,181.7,98.1,6.7,785.5,1066.0,24.5
213.8,14,181.7,98.1,6.7,785.5,1066.0,24.5
213.8,28,181.7,98.1,6.7,785.5,1066.0,24.5
213.8,56,181.7,98.1,6.7,785.5,1066.0,24.5
213.8,100,181.7,98.1,6.7,785.5,1066.0,24.5
229.7,3,195.2,0.0,6.1,757.6,1028.1,118.2
229.7,14,195.2,0.0,6.1,757.6,1028.1,118.2
229.7,28,195.2,0.0,6.1,757.6,1028.1,118.2
229.7,56,195.2,0.0,6.1,757.6,1028.1,118.2
229.7,100,195.2,0.0,6.1,757.6,1028.1,118.2
238.1,3,186.7,0.0,7.0,847.0,949.9,94.1
238.1,14,186.7,0.0,7.0,847.0,949.9,94.1
238.1,28,186.7,0.0,7.0,847.0,949.9,94.1
238.1,56,186.7,0.0,7.0,847.0,949.9,94.1
238.1,100,186.7,0.0,7.0,847.0,949.9,94.1
250.0,3,187.4,0.0,5.5,861.2,956.9,95.7
250.0,14,187.4,0.0,5.5,861.2,956.9,95.7
250.0,28,187.4,0.0,5.5,861.2,956.9,95.7
250.0,56,187.4,0.0,5.5,861.2,956.9,95.7
250.0,100,187.4,0.0,5.5,861.2,956.9,95.7
212.5,3,159.3,0.0,8.7,903.6,1007.8,100.4
212.5,14,159.3,0.0,8.7,903.6,1007.8,100.4
212.5,28,159.3,0.0,8.7,903.6,1007.8,100.4
212.5,56,159.3,0.0,8.7,903.6,1007.8,100.4
212.5,100,159.3,0.0,8.7,903.6,1007.8,100.4
212.6,3,159.4,0.0,10.4,903.8,1003.8,100.4
212.6,14,159.4,0.0,10.4,903.8,1003.8,100.4
212.6,28,159.4,0.0,10.4,903.8,1003.8,100.4
212.6,56,159.4,0.0,10.4,903.8,1003.8,100.4
212.6,100,159.4,0.0,10.4,903.8,1003.8,100.4
212.0,3,159.0,0.0,7.8,799.5,1085.4,124.8
212.0,14,159.0,0.0,7.8,799.5,1085.4,124.8
212.0,28,159.0,0.0,7.8,799.5,1085.4,124.8
212.0,56,159.0,0.0,7.8,799.5,1085.4,124.8
212.0,100,159.0,0.0,7.8,799.5,1085.4,124.8
231.8,3,174.0,0.0,6.7,778.5,1056.4,121.6
231.8,14,174.0,0.0,6.7,778.5,1056.4,121.6
231.8,28,174.0,0.0,6.7,778.5,1056.4,121.6
231.8,56,174.0,0.0,6.7,778.5,1056.4,121.6
231.8,100,174.0,0.0,6.7,778.5,1056.4,121.6
251.4,3,188.5,0.0,5.8,757.7,1028.4,118.3
251.4,14,188.5,0.0,5.8,757.7,1028.4,118.3
251.4,28,188.5,0.0,5.8,757.7,1028.4,118.3
251.4,56,188.5,0.0,5.8,757.7,1028.4,118.3
251.4,100,188.5,0.0,5.8,757.7,1028.4,118.3
251.4,3,188.5,0.0,6.4,757.7,1028.4,118.3
251.4,14,188.5,0.0,6.4,757.7,1028.4,118.3
251.4,28,188.5,0.0,6.4,757.7,1028.4,118.3
251.4,56,188.5,0.0,6.4,757.7,1028.4,118.3
251.4,100,188.5,0.0,6.4,757.7,1028.4,118.3
181.4,3,169.6,0.0,7.6,777.8,1055.6,167.0
181.4,14,169.6,0.0,7.6,777.8,1055.6,167.0
181.4,28,169.6,0.0,7.6,777.8,1055.6,167.0
181.4,56,169.6,0.0,7.6,777.8,1055.6,167.0
181.4,100,169.6,0.0,7.6,777.8,1055.6,167.0
182.0,3,170.2,45.2,8.2,780.7,1059.4,122.0
182.0,14,170.2,45.2,8.2,780.7,1059.4,122.0
182.0,28,170.2,45.2,8.2,780.7,1059.4,122.0
182.0,56,170.2,45.2,8.2,780.7,1059.4,122.0
182.0,100,170.2,45.2,8.2,780.7,1059.4,122.0
168.9,3,158.3,42.2,10.8,796.2,1080.8,124.3
168.9,14,158.3,42.2,10.8,796.2,1080.8,124.3
168.9,28,158.3,42.2,10.8,796.2,1080.8,124.3
168.9,56,158.3,42.2,10.8,796.2,1080.8,124.3
168.9,100,158.3,42.2,10.8,796.2,1080.8,124.3
290.4,3,168.1,0.0,9.4,865.0,961.2,96.2
290.4,14,168.1,0.0,9.4,865.0,961.2,96.2
290.4,28,168.1,0.0,9.4,865.0,961.2,96.2
290.4,56,168.1,0.0,9.4,865.0,961.2,96.2
290.4,100,168.1,0.0,9.4,865.0,961.2,96.2
277.1,3,160.6,0.0,11.8,875.6,973.9,97.4
277.1,14,160.6,0.0,11.8,875.6,973.9,97.4
277.1,28,160.6,0.0,11.8,875.6,973.9,97.4
277.1,56,160.6,0.0,11.8,875.6,973.9,97.4
277.1,100,160.6,0.0,11.8,875.6,973.9,97.4
295.7,3,171.5,0.0,8.9,859.2,955.1,95.6
295.7,14,171.5,0.0,8.9,859.2,955.1,95.6
295.7,28,171.5,0.0,8.9,859.2,955.1,95.6
295.7,56,171.5,0.0,8.9,859.2,955.1,95.6
295.7,100,171.5,0.0,8.9,859.2,955.1,95.6
251.8,3,146.1,0.0,12.4,899.8,1006.0,99.9
251.8,14,146.1,0.0,12.4,899.8,1006.0,99.9
251.8,28,146.1,0.0,12.4,899.8,1006.0,99.9
251.8,56,146.1,0.0,12.4,899.8,1006.0,99.9
251.8,100,146.1,0.0,12.4,899.8,1006.0,99.9
249.1,3,158.1,0.0,12.8,889.0,987.8,98.8
249.1,14,158.1,0.0,12.8,889.0,987.8,98.8
249.1,28,158.1,0.0,12.8,889.0,987.8,98.8
249.1,56,158.1,0.0,12.8,889.0,987.8,98.8
249.1,100,158.1,0.0,12.8,889.0,987.8,98.8
252.3,3,146.3,0.0,14.2,889.0,987.8,98.8
252.3,14,146.3,0.0,14.2,889.0,987.8,98.8
252.3,28,146.3,0.0,14.2,889.0,987.8,98.8
252.3,56,146.3,0.0,14.2,889.0,987.8,98.8
252.3,100,146.3,0.0,14.2,889.0,987.8,98.8
246.8,3,143.3,0.0,12.0,800.9,1086.8,125.1
246.8,14,143.3,0.0,12.0,800.9,1086.8,125.1
246.8,28,143.3,0.0,12.0,800.9,1086.8,125.1
246.8,56,143.3,0.0,12.0,800.9,1086.8,125.1
246.8,100,143.3,0.0,12.0,800.9,1086.8,125.1
275.1,3,159.5,0.0,9.9,777.5,1053.6,121.4
275.1,14,159.5,0.0,9.9,777.5,1053.6,121.4
275.1,28,159.5,0.0,9.9,777.5,1053.6,121.4
275.1,56,159.5,0.0,9.9,777.5,1053.6,121.4
275.1,100,159.5,0.0,9.9,777.5,1053.6,121.4
297.2,3,174.8,0.0,9.5,753.5,1022.8,117.5
297.2,14,174.8,0.0,9.5,753.5,1022.8,117.5
297.2,28,174.8,0.0,9.5,753.5,1022.8,117.5
297.2,56,174.8,0.0,9.5,753.5,1022.8,117.5
297.2,100,174.8,0.0,9.5,753.5,1022.8,117.5
213.7,3,154.8,0.0,10.2,776.4,1053.5,174.7
213.7,14,154.8,0.0,10.2,776.4,1053.5,174.7
213.7,28,154.8,0.0,10.2,776.4,1053.5,174.7
213.7,56,154.8,0.0,10.2,776.4,1053.5,174.7
213.7,100,154.8,0.0,10.2,776.4,1053.5,174.7
213.5,3,154.6,0.0,11.7,775.5,1052.3,174.2
213.5,14,154.6,0.0,11.7,775.5,1052.3,174.2
213.5,28,154.6,0.0,11.7,775.5,1052.3,174.2
213.5,56,154.6,0.0,11.7,775.5,1052.3,174.2
213.5,100,154.6,0.0,11.7,775.5,1052.3,174.2
277.2,3,160.7,97.8,11.2,782.5,1061.7,24.5
277.2,14,160.7,97.8,11.2,782.5,1061.7,24.5
277.2,28,160.7,97.8,11.2,782.5,1061.7,24.5
277.2,56,160.7,97.8,11.2,782.5,1061.7,24.5
277.2,100,160.7,97.8,11.2,782.5,1061.7,24.5
218.2,3,140.8,54.6,11.9,792.7,1075.7,123.8
218.2,14,140.8,54.6,11.9,792.7,1075.7,123.8
218.2,28,140.8,54.6,11.9,792.7,1075.7,123.8
218.2,56,140.8,54.6,11.9,792.7,1075.7,123.8
218.2,100,140.8,54.6,11.9,792.7,1075.7,123.8
214.9,3,155.6,53.8,9.6,780.6,1014.3,121.9
214.9,14,155.6,53.8,9.6,780.6,1014.3,121.9
214.9,28,155.6,53.8,9.6,780.6,1014.3,121.9
214.9,56,155.6,53.8,9.6,780.6,1014.3,121.9
214.9,100,155.6,53.8,9.6,780.6,1014.3,121.9
218.9,3,158.5,0.0,11.3,794.9,1078.7,124.1
218.9,14,158.5,0.0,11.3,794.9,1078.7,124.1
218.9,28,158.5,0.0,11.3,794.9,1078.7,124.1
218.9,56,158.5,0.0,11.3,794.9,1078.7,124.1
218.9,100,158.5,0.0,11.3,794.9,1078.7,124.1
376.0,3,214.6,0.0,0.0,762.4,1003.5,0.0
376.0,14,214.6,0.0,0.0,762.4,1003.5,0.0
376.0,28,214.6,0.0,0.0,762.4,1003.5,0.0
376.0,56,214.6,0.0,0.0,762.4,1003.5,0.0
376.0,100,214.6,0.0,0.0,762.4,1003.5,0.0
500.0,28,140.0,0.0,4.0,853.0,966.0,0.0
475.0,28,142.0,0.0,1.9,641.0,1098.0,59.0
315.0,28,145.0,137.0,5.9,745.0,1130.0,0.0
505.0,28,195.0,0.0,0.0,630.0,1030.0,60.0
451.0,28,165.0,0.0,11.3,745.0,1030.0,0.0
516.0,28,162.0,0.0,8.2,802.0,801.0,0.0
520.0,28,170.0,0.0,5.2,855.0,855.0,0.0
528.0,28,185.0,0.0,6.9,720.0,920.0,0.0
520.0,28,175.0,0.0,5.2,805.0,870.0,0.0
385.0,28,158.0,0.0,20.0,768.0,903.0,136.0
500.1,28,200.0,0.0,3.0,613.2,1124.4,0.0
450.1,28,200.0,50.0,3.0,613.2,1124.4,0.0
397.0,28,167.0,17.2,20.8,633.0,967.0,158.0
333.0,28,167.0,17.5,17.9,652.0,996.0,163.0
334.0,28,189.0,17.6,15.3,633.0,967.0,158.0
405.0,28,175.0,0.0,0.0,695.0,1120.0,0.0
200.0,28,190.0,200.0,0.0,660.0,1145.0,0.0
516.0,28,162.0,0.0,8.3,802.0,801.0,0.0
145.0,28,184.0,116.0,5.7,880.0,833.0,119.0
160.0,28,182.0,128.0,6.4,879.0,824.0,122.0
234.0,28,189.0,156.0,5.9,760.0,981.0,0.0
250.0,28,159.0,180.0,9.5,800.0,860.0,95.0
475.0,28,162.0,0.0,9.5,662.0,1044.0,0.0
285.0,28,163.0,190.0,7.6,685.0,1031.0,0.0
356.0,28,160.0,119.0,9.0,657.0,1061.0,0.0
275.0,28,162.0,180.0,10.4,765.0,830.0,120.0
500.0,28,151.0,0.0,9.0,655.0,1033.0,0.0
165.0,3,163.8,0.0,0.0,900.9,1005.6,143.6
165.0,3,175.1,128.5,8.1,746.6,1005.8,132.1
178.0,3,179.9,129.8,3.6,746.8,1007.3,118.6
167.4,3,175.5,129.9,7.8,746.6,1006.3,128.6
172.4,3,156.8,13.6,4.1,856.4,1006.3,172.4
173.5,3,164.8,50.1,6.5,793.5,1006.2,173.5
167.0,3,164.0,75.4,7.9,770.1,1007.3,167.0
173.8,3,172.3,93.4,9.7,746.6,1007.2,159.9
190.3,3,166.6,0.0,9.9,798.9,1079.0,125.2
250.0,3,191.8,0.0,5.3,857.2,948.9,95.7
213.5,3,159.2,0.0,11.7,771.9,1043.6,174.2
194.7,3,170.2,0.0,7.5,901.8,998.0,100.5
251.4,3,192.9,0.0,5.8,754.3,1043.6,118.3
165.0,14,163.8,0.0,0.0,900.9,1005.6,143.6
165.0,14,175.1,128.5,8.1,746.6,1005.8,132.1
178.0,14,179.9,129.8,3.6,746.8,1007.3,118.6
167.4,14,175.5,129.9,7.8,746.6,1006.3,128.6
172.4,14,156.8,13.6,4.1,856.4,1006.3,172.4
173.5,14,164.8,50.1,6.5,793.5,1006.2,173.5
167.0,14,164.0,75.4,7.9,770.1,1007.3,167.0
173.8,14,172.3,93.4,9.7,746.6,1007.2,159.9
190.3,14,166.6,0.0,9.9,798.9,1079.0,125.2
250.0,14,191.8,0.0,5.3,857.2,948.9,95.7
213.5,14,159.2,0.0,11.7,771.9,1043.6,174.2
194.7,14,170.2,0.0,7.5,901.8,998.0,100.5
251.4,14,192.9,0.0,5.8,754.3,1043.6,118.3
165.0,28,163.8,0.0,0.0,900.9,1005.6,143.6
165.0,28,175.1,128.5,8.1,746.6,1005.8,132.1
178.0,28,179.9,129.8,3.6,746.8,1007.3,118.6
167.4,28,175.5,129.9,7.8,746.6,1006.3,128.6
172.4,28,156.8,13.6,4.1,856.4,1006.3,172.4
173.5,28,164.8,50.1,6.5,793.5,1006.2,173.5
167.0,28,164.0,75.4,7.9,770.1,1007.3,167.0
173.8,28,172.3,93.4,9.7,746.6,1007.2,159.9
190.3,28,166.6,0.0,9.9,798.9,1079.0,125.2
250.0,28,191.8,0.0,5.3,857.2,948.9,95.7
213.5,28,159.2,0.0,11.7,771.9,1043.6,174.2
194.7,28,170.2,0.0,7.5,901.8,998.0,100.5
251.4,28,192.9,0.0,5.8,754.3,1043.6,118.3
165.0,56,163.8,0.0,0.0,900.9,1005.6,143.6
165.0,56,175.1,128.5,8.1,746.6,1005.8,132.1
